source	target
These include portraits and altarpieces , notably , the Paumgartner altarpiece and the Adoration of the Magi .	subject<is>Wittgenstein<and>relation<is>would take part in<and>object<is>many discussions<then>subject<is>Wittgenstein<and>relation<is>with<and>object<is>members of the Vienna Circle<then>subject<is>members of the Vienna Circle<and>relation<is>with<and>object<is>Wittgenstein<then>subject<is>Wittgenstein<and>relation<is>from<and>object<is>1926
However , on the contrary , bovine meat has decreased from 10.4 kilograms -LRB- 23 lb -RRB- / capita in 1990 to 9.6 kilograms -LRB- 21 lb -RRB- / capita in 2009 .	subject<is>Three men in hoods<and>relation<is>entered<and>object<is>the magazine's office<then>subject<is>Three men in hoods<and>relation<is>armed with<and>object<is>Kalashnikov rifles<then>subject<is>Three men in hoods<and>relation<is>shot dead<and>object<is>ten journalists<then>subject<is>Three men in hoods<and>relation<is>shot dead<and>object<is>two police officers<then>subject<is>Three men in hoods<and>relation<is>made a getaway in<and>object<is>a car driven by a fourth collaborator
The tractor is going to burn fuel and release CO2 just to run .	subject<is>curtain in my brain<and>relation<is>has gone up<and>object<is>the first time after more than 2 years
Nikki Allan 's mother Sharon Henderson held a vigil to mark the 21st anniversary of her daughter 's death in October last year .	subject<is>The first delegation<and>relation<is>to enter<and>object<is>Afghanistan<then>subject<is>Afghanistan<and>relation<is>followed by<and>object<is>Germany
Most modern public museums and art education programs for children in schools can be traced back to this impulse to have art available to everyone .	subject<is>Roman times<and>relation<is>by<and>object<is>he<then>subject<is>he<and>relation<is>added that<and>object<is>wheat had replaced barley as a staple
Any deviation from this family model is considered a `` nontraditional family '' .	subject<is>Action<and>relation<is>was taken<and>object<is>quickly<then>subject<is>Air Force and Navy helicopters<and>relation<is>seen above<and>object<is>Islamabad<then>subject<is>officials<and>relation<is>were notified<and>object<is>
The British Chancellor of the Exchequer George Osborne delivered the budget today , an annually-held audit of the country 's finances deciding how taxpayers ' money should be spent .	subject<is>Portugal<and>relation<is>moved up one to be ranked<and>object<is>third<then>subject<is>Colombia<and>relation<is>moved up one to be ranked<and>object<is>fourth<then>subject<is>Uruguay<and>relation<is>moved up one to be ranked<and>object<is>fifth
Obama also said that the US would provide assistance `` to help bring these terrorists to justice '' .	subject<is>Several copies of it<and>relation<is>exist in<and>object<is>different galleries<then>subject<is>some of them<and>relation<is>possibly studies for<and>object<is>the original or replicas<then>subject<is>replicas<and>relation<is>painted for<and>object<is>Philip
Glaeser furthers his argument by stating that bigger cities do not pay more for equal productivity than in a smaller city , so it is reasonable to assume that workers become more productive if they move to a city twice the size as they initially worked in .	subject<is>non-churchgoing teens<and>relation<is>were more likely to rarely eat<and>object<is>pies<then>subject<is>non-churchgoing teens<and>relation<is>were more likely to rarely eat<and>object<is>fast food<then>subject<is>non-churchgoing teens<and>relation<is>were more likely to rarely eat<and>object<is>fried food<then>subject<is>non-churchgoing teens<and>relation<is>were more likely to rarely eat<and>object<is>pies, fast food, and fried food
Economic analyses may also be applied to such diverse subjects as crime , education , the family , law , politics , religion , social institutions , war , science , and the environment .	subject<is>Aztec civilization<and>relation<is>developed into<and>object<is>an extensive empire<then>subject<is>Aztec civilization<and>relation<is>had<and>object<is>the goal of exacting tribute from the conquered colonial areas<then>subject<is>Aztec civilization<and>relation<is>much like<and>object<is>the Roman Empire
